Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
6/19/2017,NOM,1,filtered,fr,5,5,9,6,4,8,3,6,4,3,6
6/19/2017,NOM,2,filtered,fr,4,12,38,27,47,43,42,36,42,37,51
6/19/2017,NOM,3,filtered,fr,5,37,39,45,42,36,38,42,46,49,43
6/12/2017,NOM,control,beef broth,MS2,5,16,23,26,24,32,22,26,30,28,23
6/12/2017,NOM,1,beef broth,MS2,5,7,10,14,9,10,12,12,8,10,11
6/12/2017,NOM,2,beef broth,MS2,5,5,12,15,9,8,4,14,4,5,5
6/12/2017,NOM,3,beef broth,MS2,4,18,23,25,33,38,21,24,37,31,42
6/12/2017,NOM,control,filtered,MS2,6,9,11,10,9,6,9,9,10,13,10
6/12/2017,NOM,1,filtered,MS2,4,14,12,13,18,15,14,14,10,18,15
6/12/2017,NOM,2,filtered,MS2,4,18,21,16,28,13,40,22,16,24,18
6/12/2017,NOM,3,filtered,MS2,4,16,20,16,13,24,17,18,17,18,17
6/15/2017,NOM,control,beef broth,MS2,6,9,5,13,6,8,6,7,6,8,7
6/15/2017,NOM,1,beef broth,MS2,5,10,15,8,9,8,10,13,9,9,14
6/15/2017,NOM,2,beef broth,MS2,5,7,9,4,13,7,4,2,1,7,9
6/15/2017,NOM,3,beef broth,MS2,5,18,12,17,18,15,13,15,10,13,14
6/15/2017,NOM,control,filtered,MS2,6,19,13,19,20,11,12,20,19,13,12
6/15/2017,NOM,1,filtered,MS2,5,11,14,14,22,15,17,19,16,16,15
6/15/2017,NOM,2,filtered,MS2,5,8,10,11,9,10,13,10,15,9,11
6/15/2017,NOM,3,filtered,MS2,5,14,15,9,13,9,9,10,13,10,11
2/9/2017,pH 6,control,beef broth,fr,6,11,20,19,21,20,12,17,21,18,20
2/9/2017,pH 6,1,beef broth,fr,3,6,10,4,11,6,7,4,4,7,7
2/9/2017,pH 6,2,beef broth,fr,2,6,5,7,10,8,6,6,11,15,14
2/9/2017,pH 6,3,beef broth,fr,3,20,12,13,17,21,15,24,10,16,17
2/9/2017,pH 6,control,filtered,fr,6,19,23,34,28,36,18,25,20,24,20
2/9/2017,pH 6,1,filtered,fr,2,1,0,0,0,0,0,0,0,0,0
2/9/2017,pH 6,2,filtered,fr,2,0,0,0,0,0,0,0,0,0,0
2/9/2017,pH 6,3,filtered,fr,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,control,beef broth,MS2,6,3,7,5,5,3,4,5,5,5,4
3/29/2017,pH 6,1,beef broth,MS2,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,2,beef broth,MS2,2,1,1,0,0,0,0,0,0,0,0
3/29/2017,pH 6,3,beef broth,MS2,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,control,filtered,MS2,6,3,3,5,3,6,3,3,3,5,4
3/29/2017,pH 6,1,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,2,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,3,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,control,beef broth,P22,7,6,5,4,4,4,2,1,5,3,1
3/29/2017,pH 6,1,beef broth,P22,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,2,beef broth,P22,2,1,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,3,beef broth,P22,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,control,filtered,P22,7,7,5,6,4,3,9,9,7,6,9
3/29/2017,pH 6,1,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,2,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
3/29/2017,pH 6,3,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
2/9/2017,pH 6,control,beef broth,phiX174,6,6,4,4,5,3,2,5,7,6,5
2/9/2017,pH 6,1,beef broth,phiX174,5,8,6,13,14,11,22,14,13,9,15
2/9/2017,pH 6,2,beef broth,phiX174,5,8,4,8,10,8,8,9,10,9,9
2/9/2017,pH 6,3,beef broth,phiX174,5,14,9,13,18,17,9,10,7,16,15
2/9/2017,pH 6,control,filtered,phiX174,6,4,3,3,2,7,3,7,5,4,6
2/9/2017,pH 6,1,filtered,phiX174,5,21,19,23,27,23,25,22,21,17,19
2/9/2017,pH 6,2,filtered,phiX174,5,2,2,5,2,2,3,2,3,4,4
2/9/2017,pH 6,3,filtered,phiX174,5,10,7,7,12,8,6,10,9,10,8
2/16/2017,pH 8,control,beef broth,fr,6,2,3,2,1,3,2,2,1,3,5
2/16/2017,pH 8,1,beef broth,fr,5,4,8,4,5,13,8,10,9,7,12
2/16/2017,pH 8,2,beef broth,fr,5,3,3,6,5,5,6,6,7,7,7
2/16/2017,pH 8,3,beef broth,fr,5,5,6,3,4,7,5,6,8,4,8
2/16/2017,pH 8,control,filtered,fr,6,4,3,4,5,1,1,4,9,4,8
2/16/2017,pH 8,1,filtered,fr,5,20,17,15,13,20,8,14,12,13,24
2/16/2017,pH 8,2,filtered,fr,4,6,7,26,22,16,17,29,16,19,25
2/16/2017,pH 8,3,filtered,fr,4,12,9,7,11,7,7,5,4,12,12
4/13/2017,pH 8,control,beef broth,MS2,6,4,5,7,6,5,6,4,4,4,8
4/13/2017,pH 8,1,beef broth,MS2,4,7,10,12,10,6,12,6,11,9,6
4/13/2017,pH 8,2,beef broth,MS2,4,7,8,10,7,9,10,13,10,15,12
4/13/2017,pH 8,3,beef broth,MS2,4,8,7,10,11,10,11,5,11,6,10
4/13/2017,pH 8,control,filtered,MS2,6,8,8,7,6,9,8,9,4,9,6
